;   
;  IMD Data
;   
;  Saved on Wed Aug 27 15:25:28 2025
;   
;  Structure: 
;   
;  [Ti/C] multilayer, N=10, d=173.00 A, Gamma=0.312
;      Ti layer (1), rho=4.550 g/cm3, z=54.00 A, sigma[Ti]=4.00 A
;      C layer (2), rho=2.200 g/cm3, z=119.00 A, sigma=4.00 A
;  Si substrate, rho=2.330 g/cm3
;   
;  
;   
;  Theta=0.400 deg
;   
;  E [eV] 	R
       10000.000     0.0067427523
       10010.000     0.0059850690
       10020.000     0.0053936504
       10030.000     0.0049823743
       10040.000     0.0047616372
       10050.000     0.0047380958
       10060.000     0.0049144596
       10070.000     0.0052895790
       10080.000     0.0058579018
       10090.000     0.0066100603
       10100.000     0.0075329046
       10110.000     0.0086097863
       10120.000     0.0098208984
       10130.000      0.011143691
       10140.000      0.012553345
       10150.000      0.014023284
       10160.000      0.015525719
       10170.000      0.017032199
       10180.000      0.018514165
       10190.000      0.019943494
       10200.000      0.021293017
       10210.000      0.022537002
       10220.000      0.023651614
       10230.000      0.024614946
       10240.000      0.025408208
       10250.000      0.026015662
       10260.000      0.026424705
       10270.000      0.026626175
       10280.000      0.026614545
       10290.000      0.026388053
       10300.000      0.025948785
       10310.000      0.025302685
       10320.000      0.024459576
       10330.000      0.023433066
       10340.000      0.022240436
       10350.000      0.020902469
       10360.000      0.019443216
       10370.000      0.017889704
       10380.000      0.016271580
       10390.000      0.014620645
       10400.000      0.012970290
       10410.000      0.011355540
       10420.000     0.0098116382
       10430.000     0.0083736994
       10440.000     0.0070760082
       10450.000     0.0059512804
       10460.000     0.0050299256
       10470.000     0.0043393032
       10480.000     0.0039030312
       10490.000     0.0037403242
       10500.000     0.0038654380
       10510.000     0.0042871823
       10520.000     0.0050085854
       10530.000     0.0060266611
       10540.000     0.0073323498
       10550.000     0.0089105840
       10560.000      0.010740551
       10570.000      0.012795958
       10580.000      0.015045509
       10590.000      0.017453691
       10600.000      0.019981394
       10610.000      0.022586643
       10620.000      0.025225429
       10630.000      0.027852503
       10640.000      0.030422229
       10650.000      0.032889348
       10660.000      0.035209788
       10670.000      0.037341332
       10680.000      0.039244346
       10690.000      0.040882331
       10700.000      0.042222554
       10710.000      0.043236488
       10720.000      0.043900366
       10730.000      0.044195298
       10740.000      0.044107696
       10750.000      0.043631202
       10760.000      0.042765083
       10770.000      0.041515363
       10780.000      0.039895090
       10790.000      0.037924741
       10800.000      0.035632580
       10810.000      0.033054909
       10820.000      0.030236380
       10830.000      0.027230128
       10840.000      0.024097874
       10850.000      0.020909864
       10860.000      0.017744599
       10870.000      0.014688368
       10880.000      0.011834505
       10890.000     0.0092823110
       10900.000     0.0071356581
       10910.000     0.0055013484
       10920.000     0.0044866923
       10930.000     0.0041971036
       10940.000     0.0047333346
       10950.000     0.0061885501
       10960.000     0.0086452381
       10970.000      0.012172193
       10980.000      0.016821746
       10990.000      0.022627358
       11000.000      0.029601783
       11010.000      0.037735926
       11020.000      0.046998483
       11030.000      0.057336477
       11040.000      0.068676545
       11050.000      0.080927068
       11060.000      0.093980959
       11070.000       0.10771883
       11080.000       0.12201211
       11090.000       0.13672646
       11100.000       0.15172775
       11110.000       0.16688275
       11120.000       0.18206303
       11130.000       0.19714677
       11140.000       0.21202108
       11150.000       0.22658307
       11160.000       0.24074094
       11170.000       0.25441412
       11180.000       0.26753333
       11190.000       0.28004037
       11200.000       0.29188722
       11210.000       0.30303561
       11220.000       0.31345579
       11230.000       0.32312590
       11240.000       0.33203070
       11250.000       0.34016074
       11260.000       0.34750979
       11270.000       0.35407552
       11280.000       0.35986396
       11290.000       0.36488064
       11300.000       0.36913310
       11310.000       0.37263007
       11320.000       0.37538157
       11330.000       0.37739798
       11340.000       0.37869030
       11350.000       0.37926939
       11360.000       0.37914632
       11370.000       0.37833174
       11380.000       0.37683623
       11390.000       0.37467015
       11400.000       0.37184339
       11410.000       0.36836598
       11420.000       0.36424758
       11430.000       0.35949822
       11440.000       0.35412686
       11450.000       0.34813894
       11460.000       0.34155189
       11470.000       0.33437805
       11480.000       0.32663089
       11490.000       0.31832560
       11500.000       0.30947925
       11510.000       0.30011127
       11520.000       0.29024360
       11530.000       0.27990145
       11540.000       0.26911341
       11550.000       0.25791198
       11560.000       0.24633362
       11570.000       0.23441942
       11580.000       0.22221510
       11590.000       0.20977120
       11600.000       0.19714295
       11610.000       0.18439046
       11620.000       0.17157825
       11630.000       0.15877224
       11640.000       0.14604602
       11650.000       0.13347591
       11660.000       0.12113825
       11670.000       0.10910986
       11680.000      0.097466755
       11690.000      0.086282710
       11700.000      0.075627746
       11710.000      0.065566607
       11720.000      0.056157284
       11730.000      0.047449627
       11740.000      0.039484142
       11750.000      0.032291020
       11760.000      0.025889416
       11770.000      0.020287097
       11780.000      0.015480368
       11790.000      0.011454359
       11800.000     0.0081836301
       11810.000     0.0056330556
       11820.000     0.0037590102
       11830.000     0.0025106010
       11840.000     0.0018310272
       11850.000     0.0016591507
       11860.000     0.0019310207
       11870.000     0.0025812917
       11880.000     0.0035445899
       11890.000     0.0047567269
       11900.000     0.0061557688
       11910.000     0.0076829503
       11920.000     0.0092834080
       11930.000      0.010906756
       11940.000      0.012507502
       11950.000      0.014045324
       11960.000      0.015485211
       11970.000      0.016797514
       11980.000      0.017957870
       11990.000      0.018947078
       12000.000      0.019750910
       12010.000      0.020359665
       12020.000      0.020768372
       12030.000      0.020976141
       12040.000      0.020985855
       12050.000      0.020803818
       12060.000      0.020439431
       12070.000      0.019904821
       12080.000      0.019214466
       12090.000      0.018384838
       12100.000      0.017434021
       12110.000      0.016381342
       12120.000      0.015247007
       12130.000      0.014051732
       12140.000      0.012816397
       12150.000      0.011561695
       12160.000      0.010307808
       12170.000     0.0090740865
       12180.000     0.0078787649
       12190.000     0.0067386938
       12200.000     0.0056690813
       12210.000     0.0046833370
       12220.000     0.0037929372
       12230.000     0.0030071767
       12240.000     0.0023331514
       12250.000     0.0017757109
       12260.000     0.0013374599
       12270.000     0.0010187975
       12280.000    0.00081800329
       12290.000    0.00073135296
       12300.000    0.00075327115
       12310.000    0.00087651306
       12320.000     0.0010923671
       12330.000     0.0013908818
       12340.000     0.0017611005
       12350.000     0.0021913051
       12360.000     0.0026692626
       12370.000     0.0031824680
       12380.000     0.0037183799
       12390.000     0.0042646438
       12400.000     0.0048092890
       12410.000     0.0053409303
       12420.000     0.0058489492
       12430.000     0.0063236359
       12440.000     0.0067563045
       12450.000     0.0071393969
       12460.000     0.0074665630
       12470.000     0.0077327131
       12480.000     0.0079340492
       12490.000     0.0080680712
       12500.000     0.0081335704
       12510.000     0.0081305954
       12520.000     0.0080604008
       12530.000     0.0079253856
       12540.000     0.0077290098
       12550.000     0.0074756984
       12560.000     0.0071707389
       12570.000     0.0068201634
       12580.000     0.0064306231
       12590.000     0.0060092616
       12600.000     0.0055635565
       12610.000     0.0051012399
       12620.000     0.0046301370
       12630.000     0.0041579983
       12640.000     0.0036923914
       12650.000     0.0032405768
       12660.000     0.0028093911
       12670.000     0.0024051399
       12680.000     0.0020335012
       12690.000     0.0016994442
       12700.000     0.0014071591
       12710.000     0.0011600054
       12720.000    0.00096047401
       12730.000    0.00081016458
       12740.000    0.00070978322
       12750.000    0.00065915270
       12760.000    0.00065723808
       12770.000    0.00070219056
       12780.000    0.00079140115
       12790.000    0.00092156695
       12800.000     0.0010887736
       12810.000     0.0012885822
       12820.000     0.0015160894
       12830.000     0.0017660710
       12840.000     0.0020330639
       12850.000     0.0023114673
       12860.000     0.0025956445
       12870.000     0.0028800194
       12880.000     0.0031591709
       12890.000     0.0034279203
       12900.000     0.0036814120
       12910.000     0.0039151860
       12920.000     0.0041252423
       12930.000     0.0043080948
       12940.000     0.0044608149
       12950.000     0.0045810662
       12960.000     0.0046671265
       12970.000     0.0047179008
       12980.000     0.0047329235
       12990.000     0.0047123500
       13000.000     0.0046569392
       13010.000     0.0045680116
       13020.000     0.0044474446
       13030.000     0.0042976309
       13040.000     0.0041213932
       13050.000     0.0039219458
       13060.000     0.0037028326
       13070.000     0.0034678617
       13080.000     0.0032210368
